"
PLS_BOM_Reports / BOM components 2
Organization Code Parameter: 'PLS, MST', Assembly Item Parameter: '02%'"

"Assembly Number","Assembly Description","Assembly Hebrew Description","Assembly Status Code","ORG","Bom Name","Component Number","Component Description","Component Hebrew Description","Component Status Code","Component Quantity"
"","","","","PLS","Primary","02100077","FLEX TUBE FOR B.DRINKER - 30M. NARROW","צינור לשוקת 30 מ' דק","Active",0.03333
"02100055","BASE OF FILTER ELEMENT - B.DRINKER","תושבת למסנן שוקת","Active","MST","Primary","00002002","LDPE IPETHENE 320 NATURAL","LDPE  איפתן 320 טבעי","Active",0.00256
"","","","","PLS","Primary","00002002","LDPE IPETHENE 320 NATURAL","LDPE  איפתן 320 טבעי","Active",0.00256
"02100056","FILTER ELEMENT FOR B.DRINKER- WITH BASE","מסנן לשוקת עם תושבת","Active","MST","Primary","02100019","FILTER FOR B.DRINKER - WITHOUT BASE","מסנן לשוקת בלי תושבת.","Active",1
"","","","","","","02100055","BASE OF FILTER ELEMENT - B.DRINKER","תושבת למסנן שוקת","Active",1
"","","","","PLS","Primary","02100019","FILTER FOR B.DRINKER - WITHOUT BASE","מסנן לשוקת בלי תושבת.","Active",1
"","","","","","","02100055","BASE OF FILTER ELEMENT - B.DRINKER","תושבת למסנן שוקת","Active",1
"021000561","NOT ACTIVE-(REPLACED BY 02100056)FILTER ELEMENT FOR B.DRINKER- WITH BASE PACKED","NOT ACTIVE-מסנן לשוקת עם תושבת לא ארוז()","Inactive","MST","Primary","02100019","FILTER FOR B.DRINKER - WITHOUT BASE","מסנן לשוקת בלי תושבת.","Active",1
"","","","","","","02100055","BASE OF FILTER ELEMENT - B.DRINKER","תושבת למסנן שוקת","Active",1
"","","","","PLS","Primary","02100019","FILTER FOR B.DRINKER - WITHOUT BASE","מסנן לשוקת בלי תושבת.","Active",1
"","","","","","","02100055","BASE OF FILTER ELEMENT - B.DRINKER","תושבת למסנן שוקת","Active",1
"02100057","TEE 1/4-1/4-1/4 (MFM)","T 1/4-1/4-1/4 חוץ פנים","Active","MST","ALT01","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.0049
"","","","","","Primary","00004201","PP natural+black (419+4014)","PP natural+black (419+4014)","Active",0.0051
"","","","","PLS","ALT01","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.0049
"","","","","","Primary","00004201","PP natural+black (419+4014)","PP natural+black (419+4014)","Active",0.0051
"02100058","NIPPLE REDUCER 1/2-1/4 (F/M) NPT","ניפל1/2-1/4חוץ פנNPT","Active","MST","ALT01","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.0122
"","","","","","Primary","00004201","PP natural+black (419+4014)","PP natural+black (419+4014)","Active",0.01223
"","","","","PLS","ALT01","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.0122
"","","","","","Primary","00004201","PP natural+black (419+4014)","PP natural+black (419+4014)","Active",0.01223
"02100066","ANTI-SPLASH COLLAR","מגן התזה","Active","MST","ALT01","00000419","M.B. Black PPB 7","M.B שחור  7 PPB","Active",0.0005472
"","","","","","","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.0268128
"","","","","","ALT02","00000419","M.B. Black PPB 7","M.B שחור  7 PPB","Active",0.0005472
"","","","","","","00004035","BC BOREALIS MO 650 NATURAL","BC בוריאליס טבעי 650","Active",0.0268128
"","","","","","Primary","00000419","M.B. Black PPB 7","M.B שחור  7 PPB","Active",0.0005472
"","","","","","","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.0268128
"","","","","PLS","ALT01","00000419","M.B. Black PPB 7","M.B שחור  7 PPB","Active",0.0005472
"","","","","","","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.0268128
"","","","","","ALT02","00000419","M.B. Black PPB 7","M.B שחור  7 PPB","Active",0.0005472
"","","","","","","00004035","BC BOREALIS MO 650 NATURAL","BC בוריאליס טבעי 650","Active",0.0268128
"","","","","","Primary","00000419","M.B. Black PPB 7","M.B שחור  7 PPB","Active",0.0005472
"","","","","","","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.0268128
"02101002","NOT ACTIVE- BELL FOR B.DRINKER MK1.","NOT ACTIVE-- פעמון לשוקת 1","Inactive","MST","ALT01","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.458
"","","","","","","00000439","MB. RED KAFRIT + UV 3XPPHU510180","M.B אדוםUV+ P5A18 כפרית","Active",0.009
"","","","","","","02100041","BUSHING FOR B.DRINKER PP","תותב שוקת P.P","Active",1
"","","","","","ALT02","00004035","BC BOREALIS MO 650 NATURAL","BC בוריאליס טבעי 650","Active",0.458
"","","","","","","00000440","MB. RED KAFRIT 3XPPH0504880","MB אדום P-5488 כפרית","Active",0.009
"","","","","","","02100041","BUSHING FOR B.DRINKER PP","תותב שוקת P.P","Active",1
"","","","","","Primary","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.458
"","","","","","","02100041","BUSHING FOR B.DRINKER PP","תותב שוקת P.P","Active",1
"","","","","","","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.009
"","","","","PLS","ALT01","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.458
"","","","","","","00000439","MB. RED KAFRIT + UV 3XPPHU510180","M.B אדוםUV+ P5A18 כפרית","Active",0.009
"","","","","","","02100041","BUSHING FOR B.DRINKER PP","תותב שוקת P.P","Active",1
"","","","","","ALT02","00004035","BC BOREALIS MO 650 NATURAL","BC בוריאליס טבעי 650","Active",0.458
"","","","","","","00000440","MB. RED KAFRIT 3XPPH0504880","MB אדום P-5488 כפרית","Active",0.009
"","","","","","","02100041","BUSHING FOR B.DRINKER PP","תותב שוקת P.P","Active",1
"","","","","","Primary","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.458
"","","","","","","02100041","BUSHING FOR B.DRINKER PP","תותב שוקת P.P","Active",1
"","","","","","","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.009
"02102000","BREEDER DRINKER MK2. + REC.","שוקת 2 קומ   ת.א","Inactive","MST","Primary","02102031","MECH.II W/HANGER + UNION","מנגנון לשוקת 2+רקורד ""1/4+מתלה","Active",1
"","","","","","","02102033","BALLAST BOTTLE FOR B.DRINKER 2+3","בקבוק מייצב לשוקת 2 ו3-","Active",1
"","","","","","","02102034","BELL FOR B.DRINKER MK2 WITH INSERT.","פעמון לשוקת 2 עם אינסרט.","Active",1
"","","","","","QRM_BOM","02102031","MECH.II W/HANGER + UNION","מנגנון לשוקת 2+רקורד ""1/4+מתלה","Active",1
"","","","","","","02102033","BALLAST BOTTLE FOR B.DRINKER 2+3","בקבוק מייצב לשוקת 2 ו3-","Active",1
"","","","","","","02102034","BELL FOR B.DRINKER MK2 WITH INSERT.","פעמון לשוקת 2 עם אינסרט.","Active",1
"","","","","","reassembly","02102031","MECH.II W/HANGER + UNION","מנגנון לשוקת 2+רקורד ""1/4+מתלה","Active",1
"","","","","","","02102033","BALLAST BOTTLE FOR B.DRINKER 2+3","בקבוק מייצב לשוקת 2 ו3-","Active",1
"","","","","","","02102034","BELL FOR B.DRINKER MK2 WITH INSERT.","פעמון לשוקת 2 עם אינסרט.","Active",1
"","","","","PLS","Primary","02102031","MECH.II W/HANGER + UNION","מנגנון לשוקת 2+רקורד ""1/4+מתלה","Active",1
"","","","","","","02102033","BALLAST BOTTLE FOR B.DRINKER 2+3","בקבוק מייצב לשוקת 2 ו3-","Active",1
"","","","","","","02102034","BELL FOR B.DRINKER MK2 WITH INSERT.","פעמון לשוקת 2 עם אינסרט.","Active",1
"","","","","","QRM_BOM","02102031","MECH.II W/HANGER + UNION","מנגנון לשוקת 2+רקורד ""1/4+מתלה","Active",1
"","","","","","","02102033","BALLAST BOTTLE FOR B.DRINKER 2+3","בקבוק מייצב לשוקת 2 ו3-","Active",1
"","","","","","","02102034","BELL FOR B.DRINKER MK2 WITH INSERT.","פעמון לשוקת 2 עם אינסרט.","Active",1
"","","","","","reassembly","02102031","MECH.II W/HANGER + UNION","מנגנון לשוקת 2+רקורד ""1/4+מתלה","Active",1
"","","","","","","02102033","BALLAST BOTTLE FOR B.DRINKER 2+3","בקבוק מייצב לשוקת 2 ו3-","Active",1
"","","","","","","02102034","BELL FOR B.DRINKER MK2 WITH INSERT.","פעמון לשוקת 2 עם אינסרט.","Active",1
"02102030","MECH.II W/CORD ADJUSTER","מנגנון שוקת 2 לברזיל","Active","MST","Primary","02100039","UNION 1/4"" FOR  B.DRINKER","רקורד 1/4 לשוקת.","Active",2
"","","","","","","02102041","BOTTLE  HANGER -","מתלה  שחור","Active",1
"","","","","","","02102051","MECHANISM B.DRINKER MK2 - BASIC","מנגנון שוקת 2 בסיסי","Active",1
"","","","","","","02100044","CLIP FOR B. DRINKER FLEXIBLE TUBE","מחזיק צינור גמיש","Active",1
"","","","","","","02100010","CORD ADJUSTER 2","מכוון גובה חבל 2","Active",1
"","","","","PLS","Primary","02100039","UNION 1/4"" FOR  B.DRINKER","רקורד 1/4 לשוקת.","Active",2
"","","","","","","02102041","BOTTLE  HANGER -","מתלה  שחור","Active",1
"","","","","","","02102051","MECHANISM B.DRINKER MK2 - BASIC","מנגנון שוקת 2 בסיסי","Active",1
"","","","","","","02100044","CLIP FOR B. DRINKER FLEXIBLE TUBE","מחזיק צינור גמיש","Active",1
"","","","","","","02100010","CORD ADJUSTER 2","מכוון גובה חבל 2","Active",1
"02102031","MECH.II W/HANGER + UNION","מנגנון לשוקת 2+רקורד ""1/4+מתלה","Active","MST","Primary","02100039","UNION 1/4"" FOR  B.DRINKER","רקורד 1/4 לשוקת.","Active",2
"","","","","","","02102041","BOTTLE  HANGER -","מתלה  שחור","Active",1
"","","","","","","02102051","MECHANISM B.DRINKER MK2 - BASIC","מנגנון שוקת 2 בסיסי","Active",1
"","","","","","","02100044","CLIP FOR B. DRINKER FLEXIBLE TUBE","מחזיק צינור גמיש","Active",1
"","","","","","","02100082","CORD FOR DRINKING SYSTEMS SUSPENSION - 20M","חוט תליה למערכות שתיה - 20מ","Active",0.1
"","","","","","","02100010","CORD ADJUSTER 2","מכוון גובה חבל 2","Active",1
"","","","","PLS","Primary","02100039","UNION 1/4"" FOR  B.DRINKER","רקורד 1/4 לשוקת.","Active",2
"","","","","","","02102041","BOTTLE  HANGER -","מתלה  שחור","Active",1
"","","","","","","02102051","MECHANISM B.DRINKER MK2 - BASIC","מנגנון שוקת 2 בסיסי","Active",1
"","","","","","","02100044","CLIP FOR B. DRINKER FLEXIBLE TUBE","מחזיק צינור גמיש","Active",1
"","","","","","","02100082","CORD FOR DRINKING SYSTEMS SUSPENSION - 20M","חוט תליה למערכות שתיה - 20מ","Active",0.1
"","","","","","","02100010","CORD ADJUSTER 2","מכוון גובה חבל 2","Active",1
"02102032","NOT ACTIVE- BELL FOR B.DRINKER   MK2 WITHOUT INSERT","NOT ACTIVE-- פעמון לשוקת 2 בלי אינסרט","Inactive","MST","ALT01","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.61973
"","","","","","","00000439","MB. RED KAFRIT + UV 3XPPHU510180","M.B אדוםUV+ P5A18 כפרית","Active",0.01239
"","","","","","ALT02","00004035","BC BOREALIS MO 650 NATURAL","BC בוריאליס טבעי 650","Active",0.61973
"","","","","","","00000440","MB. RED KAFRIT 3XPPH0504880","MB אדום P-5488 כפרית","Active",0.01239
"","","","","","Primary","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.01239
"","","","","","","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.61973
"","","","","PLS","ALT01","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.61973
"","","","","","","00000439","MB. RED KAFRIT + UV 3XPPHU510180","M.B אדוםUV+ P5A18 כפרית","Active",0.01239
"","","","","","ALT02","00004035","BC BOREALIS MO 650 NATURAL","BC בוריאליס טבעי 650","Active",0.61973
"","","","","","","00000440","MB. RED KAFRIT 3XPPH0504880","MB אדום P-5488 כפרית","Active",0.01239
"","","","","","Primary","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.01239
"","","","","","","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.61973
"02102034","BELL FOR B.DRINKER MK2 WITH INSERT.","פעמון לשוקת 2 עם אינסרט.","Active","MST","ALT01","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.625
"","","","","","ALT02","00004035","BC BOREALIS MO 650 NATURAL","BC בוריאליס טבעי 650","Active",0.6365
"","","","","","ALT03","00004065","PP Globalene 7533 LCY","PP Globalene 7533 LCY","Active",0.6259266
"","","","","","","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0160494
"","","","","","ALT04","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.01595
"","","","","","","00004065","PP Globalene 7533 LCY","PP Globalene 7533 LCY","Active",0.62215
"","","","","","ALT08","00004371","PP natural+red (443+4006)","PP natural+red (443+4006)","Active",0.6381
"","","","","","ALT09","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.01595
"","","","","","","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.62215
"","","","","","INJ","00004371","PP natural+red (443+4006)","PP natural+red (443+4006)","Active",0.6381
"","","","","","Primary","00004375","PP NATURAL+RED 4052+443","PP NATURAL+RED 4052+443","Active",0.6381
"","","","","","QRM_BOM","00004371","PP natural+red (443+4006)","PP natural+red (443+4006)","Active",0.6381
"","","","","PLS","ALT01","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.625
"","","","","","ALT02","00004035","BC BOREALIS MO 650 NATURAL","BC בוריאליס טבעי 650","Active",0.6365
"","","","","","ALT03","00004065","PP Globalene 7533 LCY","PP Globalene 7533 LCY","Active",0.6259266
"","","","","","","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0160494
"","","","","","ALT04","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.01595
"","","","","","","00004065","PP Globalene 7533 LCY","PP Globalene 7533 LCY","Active",0.62215
"","","","","","ALT08","00004371","PP natural+red (443+4006)","PP natural+red (443+4006)","Active",0.6381
"","","","","","ALT09","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.01595
"","","","","","","00004052","PP MOPLEN EP300K NATURAL","PP מופלן EP300K טבעי","Active",0.62215
"","","","","","INJ","00004371","PP natural+red (443+4006)","PP natural+red (443+4006)","Active",0.6381
"","","","","","Primary","00004375","PP NATURAL+RED 4052+443","PP NATURAL+RED 4052+443","Active",0.6381
"","","","","","QRM_BOM","00004371","PP natural+red (443+4006)","PP natural+red (443+4006)","Active",0.6381
"02102035","FILTER CAP FOR B.DRINKER MK2 - RED","כובע מסנן לשוקת 2 אדום","Active","MST","ALT02","00000439","MB. RED KAFRIT + UV 3XPPHU510180","M.B אדוםUV+ P5A18 כפרית","Active",0.0004
"","","","","","","00004014","NOVOLEN PP 1022 NATURAL","PP  1022 טבעי","Active",0.0148
"","","","","","Primary","00004014","NOVOLEN PP 1022 NATURAL","PP  1022 טבעי","Active",0.0148
"","","","","","","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0004
"","","","","PLS","Primary","00004014","NOVOLEN PP 1022 NATURAL","PP  1022 טבעי","Active",0.0148
"","","","","","","00000443","MB FOR PP RED + UV TOSAF","MB לPP- אדום + UV תוסף","Active",0.0004
"021020351","NOT ACTIVE-(REPLACED BY 02102035)FILTER CAP FOR B.DRINKER MK2 - RED INJECTED PACKED","NOT ACTIVE-כובע מסנן לשוקת 2 אדום מוזרק לא ארוז ()","Inactive","MST","Primary","00000439","MB. RED KAFRIT + UV 3XPPHU510180","M.B אדוםUV+ P5A18 כפרית","Active",0.0003
"","","","","","","00004014","NOVOLEN PP 1022 NATURAL","PP  1022 טבעי","Active",0.01481
"","","","","PLS","Primary","00000439","MB. RED KAFRIT + UV 3XPPHU510180","M.B אדוםUV+ P5A18 כפרית","Active",0.0003
"","","","","","","00004014","NOVOLEN PP 1022 NATURAL","PP  1022 טבעי","Active",0.01481
"02102036","MECHANISM PIPE  FOR B.DRINKER MK2-YELLOW","צינור מנגנון שוקת 2 צהוב","Active","MST","Primary","00000447","MB. YELLOW KAFRIT 3XPPHU306080","M.B כפרית צהוב P-3608","Active",0.00121
"","","","","","","00004014","NOVOLEN PP 1022 NATURAL","PP  1022 טבעי","Active",0.0291
"","","","","PLS","Primary","00000447","MB. YELLOW KAFRIT 3XPPHU306080","M.B כפרית צהוב P-3608","Active",0.00121
"","","","","","","00004014","NOVOLEN PP 1022 NATURAL","PP  1022 טבעי","Active",0.0291
"021020361","NOT ACTIVE-(REPLACED BY 02100036)MECHANISM PIPE","NOT ACTIVE-(REPLACED BY 02100036)MECHANISM PIPE","Inactive","MST","Primary","00000447","MB. YELLOW KAFRIT 3XPPHU306080","M.B כפרית צהוב P-3608","Active",0.0012
"","","","","","","00004014","NOVOLEN PP 1022 NATURAL","PP  1022 טבעי","Active",0.0305
"","","","","PLS","Primary","00000447","MB. YELLOW KAFRIT 3XPPHU306080","M.B כפרית צהוב P-3608","Active",0.0012
"","","","","","","00004014","NOVOLEN PP 1022 NATURAL","PP  1022 טבעי","Active",0.0305
"02102039","NOT ACTIVE- MECHANISM B.DRINKER MK2-UNIONWITHOUT HANGER","NOT ACTIVE-- מנגנון שוקת 2 ללא מתלה","Inactive","MST","Primary","02100039","UNION 1/4"" FOR  B.DRINKER","רקורד 1/4 לשוקת.","Active",2
"","","","","","","02102051","MECHANISM B.DRINKER MK2 - BASIC","מנגנון שוקת 2 בסיסי","Active",1
"","","","","","","02100044","CLIP FOR B. DRINKER FLEXIBLE TUBE","מחזיק צינור גמיש","Active",1
"","","","","PLS","Primary","02100039","UNION 1/4"" FOR  B.DRINKER","רקורד 1/4 לשוקת.","Active",2
"","","","","","","02102051","MECHANISM B.DRINKER MK2 - BASIC","מנגנון שוקת 2 בסיסי","Active",1
"","","","","","","02100044","CLIP FOR B. DRINKER FLEXIBLE TUBE","מחזיק צינור גמיש","Active",1
"02102041","BOTTLE  HANGER -","מתלה  שחור","Active","MST","ALT01","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.0396
"","","","","","","00000521","MB. POLYRAM FOR ACETAL","MB לאצטל שחור פולירם","Active",0.0002
"","","","","","ALT02","00000521","MB. POLYRAM FOR ACETAL","MB לאצטל שחור פולירם","Active",0.0002
"","","","","","","00005237","POM AMCEL KP 20","AC 20KP AMCEL  מטיקונה (F20)","Active",0.0396
"","","","","","Primary","00005220","ACETAL F20 PM7109 BK11M","אצטל שחור F20  PM7109BK11M","Active",0.0398
"","","","","PLS","ALT01","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.0396
"","","","","","","00000521","MB. POLYRAM FOR ACETAL","MB לאצטל שחור פולירם","Active",0.0002
"","","","","","Primary","00005220","ACETAL F20 PM7109 BK11M","אצטל שחור F20  PM7109BK11M","Active",0.0398
"02102051","MECHANISM B.DRINKER MK2 - BASIC","מנגנון שוקת 2 בסיסי","Active","MST","Primary","02100007","WHITE PLUNGER FOR DRINKER 1-2-3","בוכנה לבנה שוקת 1-2-3","Active",1
